#{"t_start": 1511377188.9544592, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
4.0,298,8.034672
1.0,173,10.724648
3.0,270,14.82426
0.0,129,16.990309
1.0,157,19.193717
4.0,300,23.858052
2.0,202,27.247703
1.0,175,29.788522
1.0,175,32.156399
4.0,297,36.749794
3.0,252,40.768445
2.0,200,44.331353
0.0,125,46.171512
3.0,253,49.541336
1.0,175,52.701278
0.0,129,54.661308
0.0,125,55.928949
2.0,184,59.134029
0.0,127,61.134067
0.0,123,63.180718
2.0,201,65.759556
0.0,127,67.845111
1.0,172,70.279834
3.0,250,74.510243
2.0,223,78.172422
2.0,202,81.207157
2.0,200,84.550123
0.0,129,85.66925
4.0,298,91.266853
0.0,129,93.208629
11.0,474,100.74699
0.0,129,102.699867
1.0,155,104.829252
0.0,129,107.00143
0.0,129,108.933211
0.0,127,110.817952
1.0,155,113.270627
0.0,127,115.223403
3.0,269,119.368822
1.0,170,122.010574
4.0,297,126.704952
2.0,187,129.92107
1.0,153,132.217755
3.0,252,136.550085
2.0,204,139.489074
0.0,125,141.502203
2.0,222,144.483192
1.0,171,147.951726
0.0,129,149.908176
1.0,155,152.277448
0.0,123,154.311081
1.0,157,156.400868
1.0,153,158.737891
2.0,202,161.515662
0.0,129,163.389487
2.0,205,167.16551
2.0,203,169.764047
9.0,417,176.238941
1.0,158,178.891296
2.0,222,182.407346
0.0,127,184.4006
2.0,223,188.182149
4.0,301,192.862941
1.0,173,195.200777
0.0,129,197.150171
4.0,277,201.543598
6.0,342,207.366502
0.0,129,208.47849
0.0,125,210.430453
4.0,301,215.744738
2.0,223,218.858139
0.0,129,220.776576
9.0,465,228.455528
0.0,129,229.647733
3.0,248,233.678758
0.0,123,235.532547
0.0,127,237.636196
0.0,127,239.533788
20.0,639,249.851672
6.0,393,256.094072
0.0,129,258.219572
2.0,207,260.931356
4.0,301,265.612228
2.0,221,269.457002
4.0,280,273.525103
2.0,190,276.497729
0.0,127,278.36129
1.0,157,280.580265
3.0,230,284.605428
2.0,185,287.854359
1.0,157,290.414147
1.0,173,292.754143
2.0,202,295.682671
1.0,173,298.838817
8.0,331,303.765256
6.0,402,310.179683
2.0,186,312.562363
4.0,299,317.989401
1.0,157,320.110786
2.0,222,323.143321
2.0,222,326.715699
5.0,350,332.521916
2.0,201,335.290441
0.0,127,337.075659
1.0,155,339.17286
1.0,155,341.659097
0.0,125,343.428026
3.0,250,347.545726
1.0,173,349.904618
3.0,232,353.766613
2.0,201,356.447927
4.0,321,362.252256
0.0,127,364.082334
4.0,280,368.606937
2.0,187,370.986654
0.0,129,373.050823
8.0,422,379.85093
5.0,371,385.750542
9.0,382,391.89265
1.0,175,394.681413
3.0,269,398.735659
1.0,174,401.349121
3.0,237,405.115102
3.0,251,409.235298
2.0,187,411.696818
4.0,277,416.008856
7.0,447,423.369672
2.0,202,426.081394
8.0,477,433.949872
1.0,157,436.099122
6.0,353,442.013468
4.0,273,446.407681
2.0,184,448.860309
6.0,357,454.910578
8.0,468,461.966293
12.0,508,470.199679
3.0,252,474.293953
6.0,397,480.688856
3.0,234,484.662242
3.0,232,487.518179
2.0,204,491.017579
5.0,324,495.398967
3.0,232,499.219564
3.0,275,503.512857
11.0,452,510.430208
1.0,155,512.570475
5.0,292,517.950819
7.0,428,524.709234
1.0,157,526.901142
6.0,343,531.934307
13.0,561,541.221473
2.0,200,544.063869
2.0,202,547.496109
0.0,129,549.572745
5.0,347,554.296756
12.0,492,562.264618
2.0,183,564.570109
4.0,271,568.979146
5.0,307,574.079126
8.0,477,581.545356
4.0,283,585.710741
5.0,352,591.499284
4.0,324,596.393248
8.0,409,602.790417
4.0,245,606.586189
5.0,331,612.100696
11.0,501,619.096535
4.0,299,624.464206
12.0,509,632.64046
4.0,263,636.891365
4.0,283,641.363397
2.0,205,643.90361
3.0,251,648.048999
2.0,204,650.587104
5.0,346,656.348816
4.0,263,660.469297
13.0,556,668.695072
11.0,419,675.097915
9.0,494,683.15076
16.0,607,693.327524
7.0,324,698.01276
12.0,508,706.364825
9.0,402,712.555417
16.0,647,722.578075
5.0,326,727.287931
5.0,327,732.975329
3.0,251,736.8424
7.0,412,743.148958
1.0,176,745.84411
1.0,155,747.945501
5.0,337,753.527262
4.0,281,757.6977
8.0,453,764.30278
6.0,365,770.187331
4.0,284,774.168917
7.0,392,780.420771
3.0,252,784.545329
10.0,436,791.21788
16.0,724,802.822308
5.0,315,807.183002
2.0,203,810.84304
4.0,244,813.812951
9.0,382,819.85994
5.0,331,825.628636
4.0,323,830.429179
4.0,265,834.404843
12.0,495,842.343109
7.0,378,848.256793
11.0,534,856.495289
7.0,396,862.764716
6.0,330,867.585229
17.0,603,877.457196
5.0,315,882.167444
10.0,526,890.17348
10.0,523,898.161954
6.0,381,904.111388
5.0,291,908.631455
7.0,446,916.142445
7.0,374,921.324447
23.0,475,928.781002
17.0,583,937.416802
13.0,538,946.894226
6.0,402,953.13455
11.0,513,960.509214
14.0,561,969.585946
11.0,503,977.395188
7.0,390,983.346224
6.0,329,988.156381
5.0,296,992.771393
19.0,664,1003.031237
5.0,356,1008.754969
21.0,528,1016.973682
7.0,429,1023.498842
9.0,426,1029.906842
5.0,279,1034.05901
5.0,294,1039.138639
10.0,451,1045.66883
5.0,333,1051.319949
19.0,479,1058.409822
17.0,558,1067.061108
4.0,251,1071.185941
7.0,391,1077.314308
12.0,478,1084.977404
10.0,516,1092.845123
7.0,369,1098.821258
10.0,500,1105.979328
5.0,324,1111.574527
18.0,603,1120.445751
7.0,336,1126.000267
12.0,429,1132.446491
15.0,630,1142.792279
13.0,547,1151.340367
11.0,483,1159.108553
12.0,520,1167.514156
4.0,261,1171.37723
3.0,229,1174.39715
7.0,371,1180.280307
6.0,330,1185.629134
16.0,470,1192.71851
9.0,443,1200.291501
26.0,811,1212.586232
8.0,447,1219.117896
9.0,456,1226.722063
6.0,382,1232.213134
10.0,378,1238.272477
10.0,467,1245.947803
18.0,679,1256.086239
14.0,552,1264.638004
12.0,608,1274.35176
26.0,603,1283.484788
13.0,576,1292.850086
7.0,376,1298.817511
10.0,523,1307.076888
11.0,524,1315.367122
9.0,481,1322.704992
13.0,638,1332.695241
18.0,759,1344.671338
15.0,544,1352.958133
8.0,481,1360.628671
10.0,526,1369.023769
6.0,359,1373.537332
14.0,374,1379.240717
30.0,895,1393.325856
3.0,246,1397.263742
12.0,536,1405.551541
10.0,342,1411.324696
12.0,427,1417.806086
8.0,400,1424.155684
14.0,537,1432.339755
14.0,598,1441.926108
10.0,546,1449.964079
16.0,512,1458.046317
8.0,374,1463.370288
17.0,614,1473.238233
7.0,350,1478.784926
21.0,603,1487.762033
7.0,250,1491.788559
5.0,349,1497.293516
29.0,963,1511.957176
24.0,783,1524.35839
13.0,632,1534.299991
11.0,517,1542.095973
11.0,488,1549.910142
17.0,594,1559.036495
10.0,477,1566.724415
36.0,960,1581.382095
12.0,599,1591.296995
8.0,444,1598.036704
10.0,484,1605.840252
8.0,299,1610.547082
18.0,512,1618.461702
11.0,531,1626.457339
11.0,572,1635.234182
23.0,670,1645.393561
12.0,549,1654.75928
18.0,634,1663.809145
15.0,549,1673.075684
26.0,781,1685.449717
29.0,784,1697.877509
21.0,674,1708.247145
12.0,392,1714.499593
25.0,702,1724.792423
24.0,779,1736.760441
5.0,304,1741.291866
10.0,503,1749.308347
19.0,817,1762.10878
13.0,624,1771.980624
20.0,568,1781.276475
13.0,633,1790.825546
13.0,448,1798.258601
